Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How many years have you been practicing? ,What's your experience with telemedicine during the COVID Pandemic?,In what setting did you use Telemedicine? ,,,,,Which telemedicine platform services did you use? ,,,,,,,,,,,How satisfied are you with the telemedicine services provided? ,Did you have any technical issues during your use of telemedicine services or encountered any barriers? ,,,,,,,,,,How likely are to incorporate telemedicine in your daily practice? ,How many of these Telemedicine options are you familiar with? ,,,,,,,,,,,,,,,,"Do you think telemedicine had an impact on patient care? If Yes or No, How?",,Do you have any feedback on how telemedicine could improve and what is most important to you.  
12063218097,393825455,10/9/2020 13:57,10/9/2020 14:02,172.101.127.57,,,,,21,I have used telemedicine prior to the COVID Pandemic,,,,,ED evaluation of correctional facility inmates,,Zoom,,,,,,,,,,3,,,,,,,,,No issues,,1 - Would not use,,Zoom for Healthcare,,,,,,,,,,,,,,,,No difference in change from normal procedure,
12063200463,393825455,10/9/2020 13:47,10/9/2020 13:56,152.133.6.70,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,VA Virtual Care Manager,4,,,,,,,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,,,,,,"Yes; On one end, I think a lot more convenient for patients/providers.  On the other hand, I do not think that a home telehealth visit can replace the real value of a physical exam performed by provider at least during initial consult; this an important diagnostic tool.",,"I think Telemedicine definitely can be helpful for followup appointments, and even in some fields of medicine.  However, I do feel strongly that the initial physical exam performed at initial consultation for nephrologists is important and cannot be replaced with patient Telemedicine visit in their homes.  Another option is that a nurse or provider is also present with patient to perform vitals and parts of exam; I would find this a lot more reassuring "
12063189573,393825455,10/9/2020 13:50,10/9/2020 13:52,128.205.92.107,,,,,26,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,,,,,,Facetime,,,,,4,,,,,,,,,No issues,,3,,,Doximity,,Microsoft Teams,Skype,Facetime,,,,,,,,,,Avoided unnecessary in-person visits for patient with transportation difficulties. ,,...
12063158666,393825455,10/9/2020 13:35,10/9/2020 13:41,161.136.4.36,,,,,32,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,Doximity,,,,Facetime,,,,,2,Difficulty with Application or Web interface,,,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,2,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,allowed needed visits to be performed without exposure to COVID-19 and some visits performed relieved patients anxieties about their chief complaint/concerns,,"better technology, too many technical failures"
12063122737,393825455,10/9/2020 13:26,10/9/2020 13:29,67.99.175.226,,,,,25,I started using telemedicine due to the COVID Pandemic,,,Communication with family,,,,Zoom,,,,,Facetime,,,,,4,,Difficulty with Login,,,Poor Audio during call,Poor Video during call,,Patients had difficulties with access,,,2,,,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,Facetime,,,,,,,,,,It limits the clinical interaction and can cause a delay in proper treatment,,
12063103813,393825455,10/9/2020 13:22,10/9/2020 13:23,161.136.4.36,,,,,8,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,Facetime,,,,,3,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,,Difficulties on the patients side,,,,3,,Zoom for Healthcare,,,Microsoft Teams,Skype,Facetime,,,,,,,,Teladoc,,,,
12063082900,393825455,10/9/2020 13:14,10/9/2020 13:15,161.136.4.150,,,,,33,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,,,,,Skype,,,,,,3,,,,,,,,,No issues,,3,,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,,Skype,,,,,,GoToMeeting,,,,,yes,,
12063047310,393825455,10/9/2020 13:01,10/9/2020 13:04,161.136.4.150,,,,,13,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,Microsoft Teams,,,,,,,4,,,,,,,,,No issues,,2,,Zoom for Healthcare,,,,,,,,,,,,,,,,,
12063036646,393825455,10/9/2020 12:58,10/9/2020 13:00,161.136.216.20,,,,,11,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,,Zoom,,,Microsoft Teams,Skype,,,,,,3,,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,1 - Would not use,,Zoom for Healthcare,,,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,less personal engagement while family members are hospitalized and more of a struggle to build rapport,,
12063018831,393825455,10/9/2020 12:51,10/9/2020 12:55,174.224.135.38,,,,,12,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,,5 - Extremely Satisfied,Difficulty with Application or Web interface,Difficulty with Login,,Poor Connection during call,,,Difficulties on the patients side,,,,3,Doxy.me,,,,,,,,,,,,,,,,,Wasn’t any more complicated than phone communication.,"Regular use is a great idea.  Limited scope due to my specialty being OBGYN, but still useful."
12063018513,393825455,10/9/2020 12:53,10/9/2020 12:54,161.136.4.36,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,Doximity,,,,,,,,,3,,,,,,,Difficulties on the patients side,Patients had difficulties with access,,,4,,Zoom for Healthcare,Doximity,,Microsoft Teams,,,,,,,GoToMeeting,,,,,,,
12063005868,393825455,10/9/2020 12:44,10/9/2020 12:50,76.180.67.125,,,,,22,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,Doxy.me,,,,,,,,,,,4,,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,,,,4,Doxy.me,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,,,,,,,,,,,Allowed fragile/at risk patients to be seen and continue to have medical attention,,"Telemedicine should be here to stay, especially for older patients or those with limited mobility. Easy to use, reliable and secure platforms are essential. Physical exam is very limited which is a clear weakness. This could be improved with use of special stethoscope, visiting nurses helping to auscultate with these and assessing volume status on site. The down side of this is exposure of the visiting staff to the patient's place. Quality of assessment though would be very close to in person visit."
12062958881,393825455,10/9/2020 12:31,10/9/2020 12:35,161.136.4.151,,,,,2,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,Zoom,,,,,,,,,,3,,Difficulty with Login,,Poor Connection during call,Poor Audio during call,Poor Video during call,,,,,2,Doxy.me,Zoom for Healthcare,,,,Skype,Facetime,,,,,,,,,,I feel it had a slightly negative impact and made things less thorough,It helped continue care during pandemic rather than patients going without,
12062943740,393825455,10/9/2020 12:27,10/9/2020 12:30,68.133.22.180,,,,,24,I started using telemedicine due to the COVID Pandemic,,Inpatient,,Follow-up Appointments,,,Zoom,,,,,Facetime,,,,,5 - Extremely Satisfied,,,,,,,,,No issues,,5 - Definitely would use,,Zoom for Healthcare,,,,,Facetime,,,,,,,,,,Very helpful with patients needing frequent follow ups ,,"Got a lot of pushback from nursing who felt it wasn’t fair for physicians and mid levels to be using telemed remotely when they had to come in to work . If nursing would be onboard with facilitating tele visits on a regular basis , patients will be much better served during this pandemic and afterwards too . "
12062911265,393825455,10/9/2020 12:18,10/9/2020 12:21,72.75.255.120,,,,,11,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,Telephone ,5 - Extremely Satisfied,,,,,,,,,No issues,,5 - Definitely would use,,Zoom for Healthcare,,,Microsoft Teams,Skype,Facetime,,,,,,,,,,Helped facilitate continuity of care in the pandemic ,,
12062905340,393825455,10/9/2020 12:13,10/9/2020 12:18,161.136.4.36,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,"TOC's HM, Annual  wellness",,Zoom,Doximity,,,,Facetime,,,,google Duo,3,Difficulty with Application or Web interface,Difficulty with Login,,,,,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,,Doximity,,,,Facetime,,,,,,,,,Google Duo,ability to provide care for people to scared or unable to come to clinic,not able to physically exam pt. ,Need an integrated platform for ease of use for all. Reimbursement will need to be commensurate with in person visits.   
12062901162,393825455,10/9/2020 12:15,10/9/2020 12:17,161.136.4.36,,,,,33,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,4,,,,,,,,,No issues,,2,Doxy.me,,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,,,,,,yes,,
12062897628,393825455,10/9/2020 12:02,10/9/2020 12:16,68.133.5.70,,,,,3,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,Facetime,,,,Epic,5 - Extremely Satisfied,,,,,,,,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,,,,,,Facetime,,,,,,,,,Epic ,,,
12062897518,393825455,10/9/2020 12:13,10/9/2020 12:16,128.205.253.150,,,,,39,I have used telemedicine prior to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,,,,,,,,,,,VVC - VA Video Connection,3,Difficulty with Application or Web interface,,,Poor Connection during call,,,Difficulties on the patients side,Patients had difficulties with access,,,4,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,Permitted connection and care during the pandemic,,"Telemedicine has limitations, particularly in dealing with patients suffering from cognitive impairment.  In addition, older adults may not have the requisite equipment and internet connection."
12062895782,393825455,10/9/2020 12:13,10/9/2020 12:15,161.136.4.150,,,,,2,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,,,,,,,,,,Ottr ,3,,,,,,,,,No issues,,3,,Zoom for Healthcare,,,,,,,,,,,,,,,Negative impact ,,
12062882764,393825455,10/9/2020 12:09,10/9/2020 12:11,72.228.161.183,,,,,25,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,Facetime,,,,,5 - Extremely Satisfied,,,,,,,Difficulties on the patients side,,,,5 - Definitely would use,,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,,,,,,,,,,yes,,none
12062882543,393825455,10/9/2020 12:08,10/9/2020 12:11,161.136.4.36,,,,,24,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,,4,,,,,,,Difficulties on the patients side,Patients had difficulties with access,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,Allowed patient care to be conducted safely during the pandemic,,Patients need more affordable access
12062873700,393825455,10/9/2020 12:06,10/9/2020 12:08,128.205.22.75,,,,,25,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,,,,,,,,,,home built ,4,Difficulty with Application or Web interface,,,,,,,,,,4,,,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,,Facetime,,,,,,,,,,,,
12062866852,393825455,10/9/2020 12:04,10/9/2020 12:06,161.136.4.36,,,,,31,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,Microsoft Teams,Skype,,,,,,4,,,,Poor Connection during call,,,,,,,2,,,,,Microsoft Teams,Skype,Facetime,,,,,,,,,,cannot easily assess your patient,,
12062866479,393825455,10/9/2020 12:03,10/9/2020 12:06,161.136.4.150,,,,,32,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,Doximity,,,,,,,,,2,,,,,,,Difficulties on the patients side,,,,3,,Zoom for Healthcare,Doximity,,Microsoft Teams,,,,,,,,,,,,Access,,As an orthopaedic physician it’s still extremely important to lay a hand on a patient and examine them!!
12062860939,393825455,10/9/2020 12:00,10/9/2020 12:04,161.136.4.36,,,,,37,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,plain telephone call,4,,,,,,,,,No issues,,3,,,,,,,,,,,,,,,,None,It helped the patient feel more secure by staying connected,,Works well for someone who can't travel to the office. Also helpful for post hospital discharge patients.
12062856028,393825455,10/9/2020 12:01,10/9/2020 12:02,173.225.61.12,,,,,3,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,,3,,,,,,,,,No issues,,3,,,,,,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,Easier for them ,,
12062854141,393825455,10/9/2020 12:00,10/9/2020 12:02,74.110.58.147,,,,,5,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,,4,,,,Poor Connection during call,,,,,,,4,Doxy.me,Zoom for Healthcare,Doximity,,,,,,,,,,,,,,,,
12062853257,393825455,10/9/2020 12:00,10/9/2020 12:02,71.186.226.34,,,,,7,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,Doxy.me,,,,,,,,,,,5 - Extremely Satisfied,,,Internet or WIFI issues,Poor Connection during call,,,Difficulties on the patients side,,,,5 - Definitely would use,Doxy.me,,,,,,,,,,,,,,,,Improve access to care,,
12062850788,393825455,10/9/2020 11:59,10/9/2020 12:01,74.69.122.134,,,,,7,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,,Zoom,Doximity,,,,,,,,,4,,Difficulty with Login,,,,,,,,,5 - Definitely would use,,,Doximity,,,,,,,,,,,,,,,,
12062850702,393825455,10/9/2020 11:52,10/9/2020 12:01,161.136.4.151,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,Doxy.me,Zoom,,,,,,,,,,4,,,,,,,,,No issues,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,,,Microsoft Teams,Skype,,,,,,,,,,,,Felt awkward; patient value ultimately was the same as with telephone calls made to patients prior to the take-off of telemedicine in order to update them on test results / answer to their requests for a call back,#NAME?
12062847910,393825455,10/9/2020 11:57,10/9/2020 12:00,174.224.136.147,,,,,11,I have used telemedicine prior to the COVID Pandemic,Outpatient,Inpatient,Communication with family,Follow-up Appointments,,,Zoom,,Cisco Webex,,,Facetime,,,,,4,,,,,,,,,No issues,,4,,,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,Helped chronic disease and urgent care management ,,Ease of use on mobile phone platform including incorporate billing and coding. 
12062843208,393825455,10/9/2020 11:53,10/9/2020 11:58,204.124.135.198,,,,,29,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,,,,,,,,,,,Polycom,3,,,,,,,,Patients had difficulties with access,,,5 - Definitely would use,,,,,Microsoft Teams,Skype,,,,VSee,,GoToMeeting,,,Teladoc,,Patient-centric for those who want it,,"Reduce the likelihood of numerous, duplicative and costly platforms that should be consolidated"
12062841522,393825455,10/9/2020 11:57,10/9/2020 11:58,161.136.4.36,,,,,26,I started using telemedicine due to the COVID Pandemic,,Inpatient,,,,,Zoom,,,,,,,,,,4,,,Internet or WIFI issues,,,,,,,,3,,Zoom for Healthcare,Doximity,,,,,,,,,,,Aspire,,,positive,,wifi at ECMC
12062831227,393825455,10/9/2020 11:52,10/9/2020 11:54,128.205.63.137,,,,,14,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,,,,,,Facetime,,,,phone,3,,,,Poor Connection during call,,,,,,,3,,,,,,,Facetime,,,,,,,,,phone,has allowed pts to be treated when it wasn't safe to leave their homes,,
12062830877,393825455,10/9/2020 11:43,10/9/2020 11:54,107.77.225.48,,,,,30,I have used telemedicine prior to the COVID Pandemic,,Inpatient,,,,,,,,,,,,,,VISICU,3,,,,,,,,,,Poor integration with inpatient physicians,3,,Zoom for Healthcare,,,Microsoft Teams,,Facetime,,,,,,,,,,,Lack of reliable true bedside evaluation and ability to effect a physical action at bedside,Still need a skilled bedside effector to carry out prescribed actions 
12062825150,393825455,10/9/2020 11:50,10/9/2020 11:53,174.244.192.35,,,,,9,I started using telemedicine due to the COVID Pandemic,Outpatient,Inpatient,,,,,,Doximity,,Microsoft Teams,,,,,,American Well,3,Difficulty with Application or Web interface,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,2,Doxy.me,Zoom for Healthcare,Doximity,,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,Teladoc,,Allowed increased access to care—both in the inpatient and outpatient setting—during the pandemic. ,,
12062824112,393825455,10/9/2020 11:50,10/9/2020 11:52,174.224.141.174,,,,,20,I started using telemedicine due to the COVID Pandemic,,,,Follow-up Appointments,Skilled nursing visits,,Zoom,,,,Skype,Facetime,,,,,4,,,,,Poor Audio during call,Poor Video during call,Difficulties on the patients side,,,,4,,Zoom for Healthcare,,,Microsoft Teams,,Facetime,,,,,,,,,,Allowed continued care management when in person visits were not feasible,,
12062816793,393825455,10/9/2020 11:48,10/9/2020 11:50,173.225.61.12,,,,,1,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,,,,,,,,,,Regular phone call,4,,,,,,,Difficulties on the patients side,,No issues,,3,,Zoom for Healthcare,,,,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,Limited ability to do a detailed oral exam,,
12062815314,393825455,10/9/2020 11:46,10/9/2020 11:49,98.11.195.12,,,,,1,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,,3,,,,,,Poor Video during call,Difficulties on the patients side,,,,4,,,,Cisco Webex Meetings / Webex Teams,,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,,,Patients should already be on the call prior to me logging on to reduce wait times and improve efficiency 
12062813949,393825455,10/9/2020 11:47,10/9/2020 11:49,161.136.4.150,,,,,42 years,I started using telemedicine due to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,,,,,,3,,,,,,,,,No issues,,2,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,,,,,,,,,,Kind of hard to to do a PPD,,
12062808229,393825455,10/9/2020 11:46,10/9/2020 11:47,174.224.137.72,,,,,2,I started using telemedicine due to the COVID Pandemic,,,Communication with family,,,Doxy.me,Zoom,,Cisco Webex,Microsoft Teams,Skype,Facetime,Google Hangout or Google Meet,,,,5 - Extremely Satisfied,,Difficulty with Login,Internet or WIFI issues,,,,,,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,,,,,,,,
12062807363,393825455,10/9/2020 11:45,10/9/2020 11:47,72.75.226.2,,,,,10,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,,,,,,,,,,,Medent,5 - Extremely Satisfied,,,,,,,,,,Initially had some difficulty w interface and compatibility but those were resolved.,3,,,,,,,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,"It is difficult to assess the entire patient: evaluate gait, mobility, strength, reflexes, etc.",,
12062801248,393825455,10/9/2020 11:41,10/9/2020 11:45,161.136.4.36,,,,,28,I started using telemedicine due to the COVID Pandemic,,Inpatient,,,,,,,,,Skype,Facetime,,,,,3,,,,,,,,,No issues,,4,,Zoom for Healthcare,,,Microsoft Teams,Skype,Facetime,,,,,,,,,,more expedient care for patients,,it may prevent an emergent situation and or hospitalization if a patient is treated earlier with the onset of symptoms
12062800425,393825455,10/9/2020 11:38,10/9/2020 11:45,161.136.4.36,,,,,12,I have used telemedicine prior to the COVID Pandemic,,Inpatient,Communication with family,,follow up post hospital discharge,,,,,,,,,,,phone call,2,,,,,,,,,,"was a random phone call, not a scheduled appointment.",5 - Definitely would use,,,,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,,Google Hangouts or Google Meet,,,,,,,,,improves access to healthcare,,"interface remote patient monitoring data with tele encounter, need ability to use stethoscope, otoscope, obtain EKG etc remotely."
12062800006,393825455,10/9/2020 11:39,10/9/2020 11:44,208.105.227.82,,,,,5,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,Facetime,Google Hangout or Google Meet,,,,4,,,,,,Poor Video during call,Difficulties on the patients side,Patients had difficulties with access,,,4,,Zoom for Healthcare,,,,,Facetime,Google Hangouts or Google Meet,,,,,,,,,Increased access for people with mental health and mobility issues,,
12062799890,393825455,10/9/2020 11:41,10/9/2020 11:44,173.64.16.222,,,,,31,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,,,Doxy.me,,,,,,,,,,Simple Practice ,4,,,Internet or WIFI issues,Poor Connection during call,,,Difficulties on the patients side,,,,5 - Definitely would use,Doxy.me,Zoom for Healthcare,Doximity,,Microsoft Teams,Skype,,Google Hangouts or Google Meet,,VSee,,GoToMeeting,,,Teladoc,Simple practice ,Reassuring for patients to get care without risk,,I’m a psychologist so this adapts more easily to my practice. Only issue is a few patients do not have access to Internet and a few are not confident using technology. Can’t just get email and follow hyper link. 
12062798914,393825455,10/9/2020 11:43,10/9/2020 11:44,71.186.235.213,,,,,3,I have used telemedicine prior to the COVID Pandemic,,,,,Emergency,,Zoom,,,,,,,,,,3,,,Internet or WIFI issues,Poor Connection during call,,,,,,,3,,Zoom for Healthcare,,,,Skype,,Google Hangouts or Google Meet,,,,,,,,,,,
12062792945,393825455,10/9/2020 11:39,10/9/2020 11:42,161.136.4.150,,,,,30,I started using telemedicine due to the COVID Pandemic,,,,Follow-up Appointments,,,Zoom,,,,,,,,,,3,,,,Poor Connection during call,,,,,,,2,,Zoom for Healthcare,,,,,,,,,,,,,,,,Very little,Pt need to be examined for proper treatment 
12062792040,393825455,10/9/2020 11:40,10/9/2020 11:42,98.4.108.149,,,,,20,I started using telemedicine due to the COVID Pandemic,,,,,Nursing home,,,Doximity,,,,Facetime,,,,,4,,,Internet or WIFI issues,Poor Connection during call,Poor Audio during call,Poor Video during call,Difficulties on the patients side,,,,5 - Definitely would use,,,Doximity,,Microsoft Teams,Skype,Facetime,,,,,GoToMeeting,,,,,Improved access. Some limitations in physical exam but did not have a major impact,,
12062791945,393825455,10/9/2020 11:39,10/9/2020 11:42,107.77.224.40,,,,,7,I started using telemedicine due to the COVID Pandemic,Outpatient,,Communication with family,Follow-up Appointments,,,Zoom,Doximity,Cisco Webex,Microsoft Teams,Skype,Facetime,,,,,3,Difficulty with Application or Web interface,Difficulty with Login,Internet or WIFI issues,Poor Connection during call,,Poor Video during call,Difficulties on the patients side,,,,3,Doxy.me,Zoom for Healthcare,Doximity,Cisco Webex Meetings / Webex Teams,Microsoft Teams,Skype,Facetime,Google Hangouts or Google Meet,,,,GoToMeeting,,,,,"Yes - for some, improved access; for others, created more barriers to accurate diagnosis and therapeutic rapport ",,"Improved network management to allow for those, even with poor quality connections, to communicate effectively "
12062790995,393825455,10/9/2020 11:39,10/9/2020 11:42,38.95.241.87,,,,,5,I started using telemedicine due to the COVID Pandemic,Outpatient,,,,,,Zoom,,,,,,,,,Regular telephone ,4,,,,,,,,Patients had difficulties with access,,,2,Doxy.me,Zoom for Healthcare,,,Microsoft Teams,,Facetime,,,,,,,,,,"More antibiotics being prescribed, patients hopefully had less exposure to COVID",,"Patients, especially elderly/ disabled, need assistance using new technologies "
12062785821,393825455,10/9/2020 11:36,10/9/2020 11:40,128.205.115.160,,,,,19,I have used telemedicine prior to the COVID Pandemic,Outpatient,,,Follow-up Appointments,,,Zoom,,,,,Facetime,,,, not sure,4,,,Internet or WIFI issues,,,,Difficulties on the patients side,,,,5 - Definitely would use,,Zoom for Healthcare,,,,,Facetime,,,,,,,,,,flexibility,,"records must be readily available for review, so a good EMR is essential. internet connection must be very reliable, so I do not recommend wireless or cellular phone connections."
